stage,floors,aspect,azimuth,x,y,tower_plate,tower_long,tower_short,podium_plate,podium_aspect,podium_x,podium_y,new_fail,new_ok,coverage_m2,bcr_pct,far_pct,height_m
E1 저층부 확대(경계 확장),39,2.5,150.0,194333.2,546966.7,192.4,21.93,8.77,3200.0,1.6,194305.2,546952.7,49,45,3317.3,35.31,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.5,165.0,194315.2,546976.7,383.2,30.95,12.38,2800.0,1.6,194299.2,546944.7,49,52,2909.8,30.97,400.0,107.25
E1 저층부 확대(경계 확장),45,3.5,150.0,194333.2,546966.7,273.7,30.95,8.84,2800.0,1.6,194291.2,546938.7,50,34,2909.8,30.97,400.0,136.75
E1 저층부 확대(경계 확장),45,3.5,150.0,194319.2,546952.7,216.6,27.53,7.87,3000.0,3.0,194319.2,546952.7,50,44,3127.5,33.29,400.0,136.75
E1 저층부 확대(경계 확장),41,2.0,165.0,194319.2,546952.7,309.0,24.86,12.43,2800.0,2.2,194291.2,546952.7,50,28,2915.2,31.03,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,172.5,194319.2,546952.7,309.0,27.8,11.12,2800.0,1.6,194305.2,546952.7,50,52,2909.8,30.97,400.0,124.95
E2 층수 하향(범위 밖 참고),39,2.0,150.0,194331.2,546960.7,330.3,25.7,12.85,2800.0,4.0,194315.2,546944.7,50,46,2933.3,31.22,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.5,165.0,194315.2,546976.7,330.3,28.74,11.5,2800.0,2.2,194299.2,546944.7,50,49,2915.2,31.03,400.0,119.05
E2 층수 하향(범위 밖 참고),25,3.0,165.0,194315.2,546960.7,638.7,43.77,14.59,2800.0,3.0,194299.2,546960.7,50,31,2923.2,31.11,400.0,77.75
E2 층수 하향(범위 밖 참고),25,2.0,150.0,194331.2,546960.7,238.7,21.85,10.92,3400.0,2.2,194299.2,546960.7,50,24,3526.8,37.54,400.0,77.75
E2 층수 하향(범위 밖 참고),25,3.0,150.0,194315.2,546960.7,238.7,26.76,8.92,3400.0,3.0,194299.2,546960.7,50,19,3535.7,37.63,400.0,77.75
E2 층수 하향(범위 밖 참고),20,2.5,150.0,194315.2,546976.7,358.0,29.92,11.97,3400.0,2.2,194315.2,546960.7,50,37,3526.8,37.54,400.0,63.0
E2 층수 하향(범위 밖 참고),20,2.5,165.0,194315.2,546976.7,358.0,29.92,11.97,3400.0,2.2,194299.2,546960.7,50,32,3526.8,37.54,400.0,63.0
E1 저층부 확대(경계 확장),45,3.0,150.0,194333.2,546980.7,388.0,34.12,11.37,2400.0,3.0,194305.2,546938.7,51,48,2514.1,26.76,400.0,136.75
E1 저층부 확대(경계 확장),45,3.5,165.0,194319.2,546952.7,216.6,27.53,7.87,3000.0,2.2,194291.2,546952.7,51,28,3119.2,33.2,400.0,136.75
