id,dong,part,use,floors,floor_h_m,roof_m,height_m,base_elev_m,top_elev_m,area_m2,gfa_m2,layer,source,wkt
104-B,104동,B(주동 동측),공동주택,43,2.95,4.0,130.85,13.3,144.15,162.8,7001.4,tower,배치도 트레이싱(개략),"POLYGON ((194219.89530231274 546902.0280623734, 194227.19347392512 546892.9493128338, 194216.29897447774 546884.191506899, 194209.00080286537 546893.2702564385, 194219.89530231274 546902.0280623734))"
104-C,104동,C(저층 연결부),공동주택,34,2.95,4.0,104.3,13.3,117.6,162.8,5536.0,tower,배치도 트레이싱(개략),"POLYGON ((194194.6001034237 546905.6068042179, 194203.35790935854 546894.7123047706, 194194.27915981907 546887.4141331582, 194185.5213538842 546898.3086326056, 194194.6001034237 546905.6068042179))"
P-N1,저층부,북측 저층부(키즈카페·돌봄센터·경로당·공공기여),근린생활시설/공공시설,1,4.5,0.0,4.5,13.3,17.8,4846.7,4846.7,podium,배치도 트레이싱(개략),"POLYGON ((194120.6951242443 547079.3472521285, 194257.90075055708 546908.6667607861, 194240.65112643206 546894.8002347226, 194103.44550011927 547065.480726065, 194120.6951242443 547079.3472521285))"
P-N2,저층부,북서측 저층부(어린이집·유아돌봄),주민공동시설,1,4.5,0.0,4.5,13.3,17.8,1367.7,1367.7,podium,배치도 트레이싱(개략),"POLYGON ((194102.89374075073 547068.0262931341, 194143.76350178008 547017.1852957129, 194127.421752609 547004.0485868107, 194086.55199157965 547054.8895842318, 194102.89374075073 547068.0262931341))"
P-C1,저층부,중앙 저층부(작은도서관·피트니스·공유주방),주민공동시설,1,4.5,0.0,4.5,13.3,17.8,1910.5,1910.5,podium,배치도 트레이싱(개략),"POLYGON ((194135.85861493924 546974.9614163035, 194182.56691325846 546916.8574192508, 194162.59366427158 546900.8014417036, 194115.88536595233 546958.9054387562, 194135.85861493924 546974.9614163035))"
P-E1,저층부,동측 저층부(복합문화체육센터·노인복지시설),공공기여시설,2,4.5,0.0,9.0,13.3,22.3,1108.6,2217.1,podium,배치도 트레이싱(개략),"POLYGON ((194178.22318227182 546907.387382145, 194209.60532020507 546868.3487591252, 194192.35569608005 546854.4822330617, 194160.9735581468 546893.5208560815, 194178.22318227182 546907.387382145))"
P-S1,저층부,남측 저층부(근린생활시설),근린생활시설,1,4.5,0.0,4.5,13.3,17.8,4509.4,4509.4,podium,배치도 트레이싱(개략),"POLYGON ((194053.3237682651 547028.1782761305, 194192.71884606162 546854.7741599262, 194176.9218218629 546842.0753413207, 194037.52674406642 547015.479457525, 194053.3237682651 547028.1782761305))"
CTX-SAMBU,삼부아파트(기존),주변 참고 건물,참고(주변현황),12,2.95,4.0,39.4,13.3,52.7,2187.3,26247.3,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194031.70799065568 547091.507940004, 194050.68323684786 547067.9031912014, 193994.39498970303 547022.6545272046, 193975.4197435108 547046.2592760073, 194031.70799065568 547091.507940004))"
CTX-JANGMI,장미아파트(기존),주변 참고 건물,참고(주변현황),13,2.95,4.0,42.35,13.3,55.65,1791.1,23283.9,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194164.04230626996 547135.1167139969, 194212.21023891168 547075.1969670362, 194194.0527398327 547060.6006238115, 194145.88480719097 547120.5203707721, 194164.04230626996 547135.1167139969))"
CTX-YEOGO,여의도여자고등학교,주변 참고 건물,참고(주변현황),5,2.95,4.0,18.75,13.3,32.05,1975.6,9878.0,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194232.64511942636 547049.7764683256, 194270.59561181074 547002.5669707203, 194245.17511310015 546982.1320902056, 194207.22462071577 547029.3415878109, 194232.64511942636 547049.7764683256))"
CTX-HWARANG,화랑아파트(기존),주변 참고 건물,참고(주변현황),12,2.95,4.0,39.4,13.3,52.7,1612.0,19343.5,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194285.1919550355 546984.4094716413, 194324.60208174237 546935.384224128, 194304.6288327555 546919.3282465808, 194265.21870604862 546968.353494094, 194285.1919550355 546984.4094716413))"
CTX-HANYANG,한양아파트(기존),주변 참고 건물,참고(주변현황),12,2.95,4.0,39.4,13.3,52.7,2833.1,33997.7,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194076.16968374248 546906.0552455329, 194118.4990790943 546853.3984982038, 194085.81558075213 546827.1250803992, 194043.4861854003 546879.7818277283, 194076.16968374248 546906.0552455329))"
CTX-HANYANG-102,한양아파트 재건축(안) 102동,주변 참고 건물,참고(주변현황),54,2.95,4.0,163.3,13.3,176.6,1367.7,73857.1,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194039.32271009515 546948.1736089999, 194065.5961278997 546915.4901106578, 194040.17562918915 546895.0552301431, 194013.9022113846 546927.7387284853, 194039.32271009515 546948.1736089999))"
CTX-HANYANG-103,한양아파트 재건축(안) 103동,주변 참고 건물,참고(주변현황),51,2.95,4.0,154.45,13.3,167.75,2149.3,109613.4,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194128.68134737085 546855.605535678, 194154.9547651754 546822.9220373358, 194115.00826720166 546790.8100822413, 194088.73484939706 546823.4935805835, 194128.68134737085 546855.605535678))"
