수광점ID,학교,종류,교사동/운동장,수광면,층,번호,수광점정의,X,Y,Z,S1_총일조h,S1_연속h,S1_기준A,S2_총일조h,S2_연속h,S2_기준A,Δ총일조h,Δ연속h,변화
여의도고등학교 ①(4층) 2층-5,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,5,일반식,194099.49,547335.73,4.7,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-5,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,5,일반식,194099.49,547335.73,8.2,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-5,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,5,일반식,194099.49,547335.73,11.7,6.67,6.67,충족,6.67,6.67,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-6,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,6,일반식,194095.52,547332.68,1.2,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-6,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,6,일반식,194095.52,547332.68,4.7,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-6,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,6,일반식,194095.52,547332.68,8.2,6.17,6.17,충족,6.17,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-6,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,6,일반식,194095.52,547332.68,11.7,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-7,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,7,일반식,194091.54,547329.63,1.2,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-7,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,7,일반식,194091.54,547329.63,4.7,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-7,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,7,일반식,194091.54,547329.63,8.2,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-7,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,7,일반식,194091.54,547329.63,11.7,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-8,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,8,일반식,194087.56,547326.57,1.2,5.67,5.67,충족,5.67,5.67,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-8,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,8,일반식,194087.56,547326.57,4.7,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-8,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,8,일반식,194087.56,547326.57,8.2,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-8,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,8,일반식,194087.56,547326.57,11.7,6.17,6.17,충족,6.17,6.17,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-9,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,9,일반식,194083.78,547329.41,1.2,3.67,3.67,충족,3.67,3.67,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-9,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,9,일반식,194083.78,547329.41,4.7,3.67,3.67,충족,3.67,3.67,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-9,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,9,일반식,194083.78,547329.41,8.2,3.83,3.83,충족,3.83,3.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-9,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,9,일반식,194083.78,547329.41,11.7,4.0,4.0,충족,4.0,4.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-10,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,10,일반식,194080.73,547333.39,1.2,3.67,3.5,충족,3.67,3.5,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-10,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,10,일반식,194080.73,547333.39,4.7,3.83,3.5,충족,3.83,3.5,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-10,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,10,일반식,194080.73,547333.39,8.2,4.17,3.83,충족,4.17,3.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-10,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,10,일반식,194080.73,547333.39,11.7,4.5,4.0,충족,4.5,4.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-1,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,1,일반식,194150.19,547344.58,1.2,1.33,1.33,불충족,1.33,1.33,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 2층-1,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,1,일반식,194150.19,547344.58,4.7,1.83,1.33,불충족,1.83,1.33,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 3층-1,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,1,일반식,194150.19,547344.58,8.2,2.83,2.83,충족,2.83,2.83,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-1,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,1,일반식,194150.19,547344.58,11.7,3.67,3.67,충족,3.67,3.67,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-2,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,2,일반식,194184.8,547304.01,1.2,1.33,0.67,불충족,1.33,0.67,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 2층-2,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,2,일반식,194184.8,547304.01,4.7,1.83,1.0,불충족,1.83,1.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 3층-2,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,2,일반식,194184.8,547304.01,8.2,3.5,3.5,충족,3.5,3.5,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-2,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,2,일반식,194184.8,547304.01,11.7,5.0,5.0,충족,5.0,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-3,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,3,일반식,194180.83,547300.92,1.2,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 2층-3,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,3,일반식,194180.83,547300.92,4.7,0.33,0.17,불충족,0.33,0.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 3층-3,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,3,일반식,194180.83,547300.92,8.2,1.17,0.67,불충족,1.17,0.67,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 4층-3,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,3,일반식,194180.83,547300.92,11.7,2.0,1.83,불충족,2.0,1.83,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 1층-4,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,4,일반식,194243.15,547251.85,1.2,5.33,4.17,충족,5.33,4.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-4,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,4,일반식,194243.15,547251.85,4.7,5.83,4.5,충족,5.83,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-4,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,4,일반식,194243.15,547251.85,8.2,6.0,4.67,충족,6.0,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-4,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,4,일반식,194243.15,547251.85,11.7,6.5,5.17,충족,6.5,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-5,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,5,일반식,194239.18,547248.73,1.2,5.67,4.5,충족,5.67,4.5,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-5,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,5,일반식,194239.18,547248.73,4.7,6.0,4.67,충족,6.0,4.67,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-5,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,5,일반식,194239.18,547248.73,8.2,6.33,5.0,충족,6.33,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-5,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,5,일반식,194239.18,547248.73,11.7,6.5,5.17,충족,6.5,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-6,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,6,일반식,194235.21,547245.61,1.2,5.83,4.83,충족,5.83,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-6,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,6,일반식,194235.21,547245.61,4.7,6.0,4.83,충족,6.0,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-6,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,6,일반식,194235.21,547245.61,8.2,6.33,5.0,충족,6.33,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-6,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,6,일반식,194235.21,547245.61,11.7,6.67,5.33,충족,6.67,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-7,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,7,일반식,194231.24,547242.5,1.2,5.83,4.83,충족,5.83,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-7,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,7,일반식,194231.24,547242.5,4.7,6.17,5.0,충족,6.17,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-7,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,7,일반식,194231.24,547242.5,8.2,6.67,5.17,충족,6.67,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-7,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,7,일반식,194231.24,547242.5,11.7,6.83,5.33,충족,6.83,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-8,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,8,일반식,194227.27,547239.38,1.2,5.67,4.83,충족,5.67,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-8,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,8,일반식,194227.27,547239.38,4.7,6.0,5.0,충족,6.0,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-8,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,8,일반식,194227.27,547239.38,8.2,6.83,5.33,충족,6.83,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-8,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,8,일반식,194227.27,547239.38,11.7,7.0,5.5,충족,7.0,5.5,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-9,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,9,일반식,194223.3,547236.27,1.2,5.67,5.0,충족,5.67,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-9,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,9,일반식,194223.3,547236.27,4.7,6.17,5.17,충족,6.17,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-9,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,9,일반식,194223.3,547236.27,8.2,6.67,5.17,충족,6.67,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-9,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,9,일반식,194223.3,547236.27,11.7,7.0,5.5,충족,7.0,5.5,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-10,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,10,일반식,194219.34,547233.15,1.2,5.5,4.83,충족,5.5,4.83,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-10,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,10,일반식,194219.34,547233.15,4.7,5.67,5.0,충족,5.67,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-10,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,10,일반식,194219.34,547233.15,8.2,6.5,5.33,충족,6.5,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-10,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,10,일반식,194219.34,547233.15,11.7,6.83,5.5,충족,6.83,5.5,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-11,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,11,일반식,194215.37,547230.04,1.2,5.83,5.0,충족,5.83,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-11,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,11,일반식,194215.37,547230.04,4.7,5.83,5.0,충족,5.83,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-11,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,11,일반식,194215.37,547230.04,8.2,6.33,5.17,충족,6.33,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-11,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,11,일반식,194215.37,547230.04,11.7,7.0,5.5,충족,7.0,5.5,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-12,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,12,일반식,194211.4,547226.92,1.2,5.83,5.0,충족,5.83,5.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-12,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,12,일반식,194211.4,547226.92,4.7,6.0,5.17,충족,6.0,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-12,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,12,일반식,194211.4,547226.92,8.2,6.0,5.17,충족,6.0,5.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-12,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,12,일반식,194211.4,547226.92,11.7,6.83,5.33,충족,6.83,5.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-13,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,13,일반식,194207.06,547225.5,1.2,4.0,3.0,충족,4.0,3.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-13,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,13,일반식,194207.06,547225.5,4.7,4.5,3.33,충족,4.5,3.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-13,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,13,일반식,194207.06,547225.5,8.2,4.5,3.33,충족,4.5,3.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-13,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,13,일반식,194207.06,547225.5,11.7,5.0,3.33,충족,5.0,3.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-14,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,14,일반식,194203.95,547229.47,1.2,4.33,3.0,충족,4.33,3.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-14,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,14,일반식,194203.95,547229.47,4.7,4.5,3.17,충족,4.5,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-14,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,14,일반식,194203.95,547229.47,8.2,4.83,3.17,충족,4.83,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-14,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,14,일반식,194203.95,547229.47,11.7,5.0,3.33,충족,5.0,3.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-15,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,15,일반식,194200.83,547233.44,1.2,4.17,3.0,충족,4.17,3.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-15,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,15,일반식,194200.83,547233.44,4.7,4.5,3.17,충족,4.5,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-15,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,15,일반식,194200.83,547233.44,8.2,4.67,3.17,충족,4.67,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-15,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,15,일반식,194200.83,547233.44,11.7,5.17,3.33,충족,5.17,3.33,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-16,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,16,일반식,194197.72,547237.41,1.2,3.5,3.0,충족,3.5,3.0,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-16,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,16,일반식,194197.72,547237.41,4.7,3.83,3.17,충족,3.83,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-16,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,16,일반식,194197.72,547237.41,8.2,4.5,3.17,충족,4.5,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-16,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,16,일반식,194197.72,547237.41,11.7,4.83,3.17,충족,4.83,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-17,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,17,일반식,194194.61,547241.38,1.2,3.17,3.17,충족,3.17,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 2층-17,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,17,일반식,194194.61,547241.38,4.7,4.0,3.17,충족,4.0,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 3층-17,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,17,일반식,194194.61,547241.38,8.2,4.83,3.17,충족,4.83,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 4층-17,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,17,일반식,194194.61,547241.38,11.7,5.17,3.17,충족,5.17,3.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-18,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,18,일반식,194203.84,547251.18,1.2,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 2층-18,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,18,일반식,194203.84,547251.18,4.7,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 3층-18,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,18,일반식,194203.84,547251.18,8.2,0.33,0.33,불충족,0.33,0.33,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 4층-18,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,18,일반식,194203.84,547251.18,11.7,0.33,0.33,불충족,0.33,0.33,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 1층-19,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,19,일반식,194200.73,547255.16,1.2,0.17,0.17,불충족,0.17,0.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 2층-19,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,19,일반식,194200.73,547255.16,4.7,1.0,0.83,불충족,1.0,0.83,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 3층-19,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,19,일반식,194200.73,547255.16,8.2,1.33,1.17,불충족,1.33,1.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 4층-19,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,19,일반식,194200.73,547255.16,11.7,2.67,1.17,불충족,2.67,1.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 1층-20,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,20,일반식,194197.62,547259.13,1.2,1.33,0.67,불충족,1.33,0.67,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 2층-20,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,2,20,일반식,194197.62,547259.13,4.7,2.0,1.17,불충족,2.0,1.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 3층-20,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,3,20,일반식,194197.62,547259.13,8.2,3.0,1.17,불충족,3.0,1.17,불충족,0.0,0.0,유지 불충족
여의도고등학교 ②(4층) 4층-20,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,4,20,일반식,194197.62,547259.13,11.7,5.33,4.17,충족,5.33,4.17,충족,0.0,0.0,유지 충족
여의도고등학교 ②(4층) 1층-21,여의도고등학교,교사동 창면,여의도고등학교 ②(4층),남향외벽,1,21,일반식,194194.51,547263.1,1.2,2.5,1.17,불충족,2.5,1.17,불충족,0.0,0.0,유지 불충족
