family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,5 미세조정,50,50,169.0,73,38,37580,400.0,10137,47717,817,8.7,0.032,,,1,3.547,15.23,50층 752㎡(49.3×15.2m)
단일,5 미세조정,50,50,169.0,73,38,37580,400.0,10137,47717,817,8.7,0.027,,,1,3.54,15.23,50층 752㎡(49.3×15.2m)
단일,5 미세조정,49,49,165.7,73,37,37580,400.0,10311,47891,835,8.89,0.02,,,1,3.568,14.6,49층 767㎡(52.5×14.6m)
단일,5 미세조정,49,49,165.7,73,38,37580,400.0,9842,47422,832,8.85,0.031,,,1,3.555,15.99,49층 767㎡(48.0×16.0m)
단일,5 미세조정,49,49,165.7,73,37,37580,400.0,10171,47751,834,8.88,0.021,,,1,3.526,14.98,49층 767㎡(51.2×15.0m)
단일,5 미세조정,48,48,162.4,73,38,37580,400.0,9351,46931,846,9.0,0.027,,,1,3.56,17.7,48층 783㎡(44.2×17.7m)
단일,5 미세조정,45,45,152.5,73,37,37580,400.0,9352,46932,902,9.6,0.033,,,1,3.561,16.92,45층 835㎡(49.3×16.9m)
단일,5 미세조정,53,53,178.9,74,37,37580,400.0,10450,48030,773,8.23,0.024,,,1,3.529,14.79,53층 709㎡(47.9×14.8m)
단일,5 미세조정,52,52,175.6,74,38,37580,400.0,10153,47733,786,8.36,0.033,,,1,3.56,15.52,52층 723㎡(46.6×15.5m)
단일,5 미세조정,52,52,175.6,74,38,37580,400.0,9955,47535,785,8.35,0.029,,,1,3.544,16.2,52층 723㎡(44.6×16.2m)
단일,5 미세조정,52,52,175.6,74,38,37580,400.0,10347,47927,787,8.38,0.033,,,1,3.531,14.93,52층 723㎡(48.4×14.9m)
단일,5 미세조정,52,52,175.6,74,33,37580,400.0,12018,49598,798,8.49,0.045,,,1,3.485,11.57,52층 723㎡(62.5×11.6m)
단일,5 미세조정,51,51,172.3,74,37,37580,400.0,10528,48108,804,8.55,0.026,,,1,3.549,14.31,51층 737㎡(51.5×14.3m)
단일,5 미세조정,50,50,169.0,74,38,37580,400.0,9828,47408,815,8.68,0.03,,,1,3.544,16.24,50층 752㎡(46.3×16.2m)
