family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label,corridor_gap,pair_gap,swap
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,99,12,37580,400.0,11123,48703,2056,21.89,0.076,5.0,0.14,4,3.745,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.8092417753287,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,100,6,37580,400.0,11123,48703,2056,21.89,0.107,6.0,0.17,4,3.75,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),59.50808264785883,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,101,15,37580,400.0,11412,48992,2061,21.94,0.043,6.0,1.5,4,3.745,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),62.43514936950669,6.0,True
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,101,15,37580,400.0,11123,48703,2056,21.89,0.107,6.0,0.17,4,3.744,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),59.50808264805528,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,102,15,37580,400.0,11123,48703,2056,21.89,0.122,4.0,0.11,4,3.754,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),59.50808264805528,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,102,15,37580,400.0,11123,48703,2056,21.89,0.115,5.0,0.14,4,3.747,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),59.50808264805528,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,102,12,37580,400.0,11123,48703,2056,21.89,0.068,6.0,0.17,4,3.739,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.75683399594709,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,107,2,37580,400.0,11123,48703,2056,21.89,0.083,4.0,0.11,4,3.749,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.861649557853525,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,107,2,37580,400.0,11123,48703,2056,21.89,0.076,5.0,0.14,4,3.74,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.809241778471915,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,107,2,37580,400.0,11123,48703,2056,21.89,0.068,6.0,0.17,4,3.735,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.756833999286755,6.0,False
