family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,5 미세조정,20,20,70.0,60,27,37580,400.0,5448,43028,1968,20.95,0.079,,,1,3.862,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,60,27,37580,400.0,5500,43080,1969,20.95,0.061,,,1,3.843,35.04,20층 1879㎡(53.6×35.0m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5382,42962,1967,20.93,0.096,,,1,3.875,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5382,42962,1967,20.93,0.141,,,1,3.872,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5386,42966,1967,20.93,0.162,,,1,3.855,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5395,42975,1967,20.94,0.136,,,1,3.852,40.41,20층 1879㎡(46.5×40.4m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5427,43007,1967,20.94,0.156,,,1,3.845,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,62,27,37580,400.0,5386,42966,1967,20.93,0.135,,,1,3.873,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,63,27,37580,400.0,5382,42962,1967,20.93,0.062,,,1,3.88,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,63,27,37580,400.0,5386,42966,1967,20.93,0.076,,,1,3.867,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,63,27,37580,400.0,5398,42978,1967,20.94,0.066,,,1,3.858,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5382,42962,1967,20.93,0.113,,,1,3.871,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5386,42966,1967,20.93,0.16,,,1,3.865,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5382,42962,1967,20.93,0.147,,,1,3.862,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5420,43000,1967,20.94,0.045,,,1,3.859,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5386,42966,1967,20.93,0.182,,,1,3.855,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5448,43028,1968,20.95,0.138,,,1,3.853,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5398,42978,1967,20.94,0.194,,,1,3.85,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,65,27,37580,400.0,5386,42966,1967,20.93,0.151,,,1,3.87,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,65,27,37580,400.0,5406,42986,1967,20.94,0.056,,,1,3.864,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,65,27,37580,400.0,5406,42986,1967,20.94,0.069,,,1,3.855,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,66,27,37580,400.0,5382,42962,1967,20.93,0.068,,,1,3.879,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,66,30,37580,400.0,5386,42966,1967,20.93,0.06,,,1,3.876,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,66,27,37580,400.0,5500,43080,1969,20.95,0.123,,,1,3.846,35.04,20층 1879㎡(53.6×35.0m)
단일,5 미세조정,20,20,70.0,66,27,37580,400.0,5448,43028,1968,20.95,0.076,,,1,3.843,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,67,27,37580,400.0,5427,43007,1967,20.94,0.099,,,1,3.857,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,69,27,37580,400.0,5420,43000,1967,20.94,0.103,,,1,3.846,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,70,27,37580,400.0,5386,42966,1967,20.93,0.078,,,1,3.877,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,70,27,37580,400.0,5386,42966,1967,20.93,0.07,,,1,3.877,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,70,27,37580,400.0,5395,42975,1967,20.94,0.117,,,1,3.866,40.41,20층 1879㎡(46.5×40.4m)
단일,5 미세조정,20,20,70.0,70,27,37580,400.0,5420,43000,1967,20.94,0.149,,,1,3.856,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,70,27,37580,400.0,5382,42962,1967,20.93,0.197,,,1,3.856,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,70,27,37580,400.0,5448,43028,1968,20.95,0.134,,,1,3.845,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,71,27,37580,400.0,5386,42966,1967,20.93,0.154,,,1,3.859,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,72,29,37580,400.0,5386,42966,1967,20.93,0.046,,,1,3.879,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,72,27,37580,400.0,5386,42966,1967,20.93,0.048,,,1,3.869,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,72,28,37580,400.0,5382,42962,1967,20.93,0.102,,,1,3.863,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,73,27,37580,400.0,5382,42962,1967,20.93,0.09,,,1,3.873,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,73,27,37580,400.0,5427,43007,1967,20.94,0.18,,,1,3.84,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,74,27,37580,400.0,5386,42966,1967,20.93,0.097,,,1,3.869,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,74,27,37580,400.0,5395,42975,1967,20.94,0.073,,,1,3.869,40.41,20층 1879㎡(46.5×40.4m)
단일,5 미세조정,20,20,70.0,74,27,37580,400.0,5429,43009,1967,20.94,0.066,,,1,3.859,37.9,20층 1879㎡(49.6×37.9m)
단일,5 미세조정,20,20,70.0,74,27,37580,400.0,5500,43080,1969,20.95,0.067,,,1,3.858,35.04,20층 1879㎡(53.6×35.0m)
단일,5 미세조정,20,20,70.0,75,27,37580,400.0,5420,43000,1967,20.94,0.115,,,1,3.864,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,76,27,37580,400.0,5398,42978,1967,20.94,0.053,,,1,3.876,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,76,27,37580,400.0,5386,42966,1967,20.93,0.082,,,1,3.869,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,76,27,37580,400.0,5429,43009,1967,20.94,0.119,,,1,3.862,37.9,20층 1879㎡(49.6×37.9m)
단일,5 미세조정,20,20,70.0,76,27,37580,400.0,5406,42986,1967,20.94,0.09,,,1,3.859,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,77,27,37580,400.0,5395,42975,1967,20.94,0.061,,,1,3.878,40.41,20층 1879㎡(46.5×40.4m)
단일,5 미세조정,20,20,70.0,77,29,37580,400.0,5382,42962,1967,20.93,0.057,,,1,3.876,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,77,27,37580,400.0,5386,42966,1967,20.93,0.069,,,1,3.875,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,77,27,37580,400.0,5406,42986,1967,20.94,0.058,,,1,3.874,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,77,27,37580,400.0,5420,43000,1967,20.94,0.062,,,1,3.869,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,77,27,37580,400.0,5420,43000,1967,20.94,0.059,,,1,3.868,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,77,27,37580,400.0,5406,42986,1967,20.94,0.135,,,1,3.851,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,77,28,37580,400.0,5406,42986,1967,20.94,0.102,,,1,3.839,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,78,27,37580,400.0,5386,42966,1967,20.93,0.067,,,1,3.882,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,78,27,37580,400.0,5406,42986,1967,20.94,0.052,,,1,3.873,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,78,27,37580,400.0,5398,42978,1967,20.94,0.057,,,1,3.86,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,78,28,37580,400.0,5386,42966,1967,20.93,0.108,,,1,3.857,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,79,27,37580,400.0,5406,42986,1967,20.94,0.064,,,1,3.877,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,79,27,37580,400.0,5406,42986,1967,20.94,0.073,,,1,3.872,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,79,27,37580,400.0,5386,42966,1967,20.93,0.123,,,1,3.872,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,79,27,37580,400.0,5420,43000,1967,20.94,0.093,,,1,3.868,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,79,27,37580,400.0,5448,43028,1968,20.95,0.103,,,1,3.863,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,80,27,37580,400.0,5427,43007,1967,20.94,0.096,,,1,3.868,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,80,27,37580,400.0,5406,42986,1967,20.94,0.096,,,1,3.863,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,80,27,37580,400.0,5398,42978,1967,20.94,0.108,,,1,3.863,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,80,27,37580,400.0,5406,42986,1967,20.94,0.106,,,1,3.861,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,80,27,37580,400.0,5463,43043,1968,20.95,0.054,,,1,3.849,36.31,20층 1879㎡(51.7×36.3m)
단일,5 미세조정,20,20,70.0,80,27,37580,400.0,5448,43028,1968,20.95,0.16,,,1,3.845,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,80,27,37580,400.0,5448,43028,1968,20.95,0.111,,,1,3.835,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5386,42966,1967,20.93,0.056,,,1,3.878,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5420,43000,1967,20.94,0.065,,,1,3.87,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5427,43007,1967,20.94,0.068,,,1,3.869,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5427,43007,1967,20.94,0.124,,,1,3.863,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5420,43000,1967,20.94,0.093,,,1,3.854,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5429,43009,1967,20.94,0.093,,,1,3.853,37.9,20층 1879㎡(49.6×37.9m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5473,43053,1968,20.95,0.05,,,1,3.845,35.95,20층 1879㎡(52.3×36.0m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5489,43069,1968,20.95,0.062,,,1,3.836,35.39,20층 1879㎡(53.1×35.4m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5500,43080,1969,20.95,0.061,,,1,3.833,35.04,20층 1879㎡(53.6×35.0m)
단일,5 미세조정,20,20,70.0,81,27,37580,400.0,5534,43114,1969,20.96,0.045,,,1,3.815,34.06,20층 1879㎡(55.2×34.1m)
단일,5 미세조정,20,20,70.0,82,27,37580,400.0,5386,42966,1967,20.93,0.13,,,1,3.865,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,82,27,37580,400.0,5382,42962,1967,20.93,0.152,,,1,3.861,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,83,27,37580,400.0,5420,43000,1967,20.94,0.045,,,1,3.879,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,83,27,37580,400.0,5448,43028,1968,20.95,0.084,,,1,3.867,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,83,28,37580,400.0,5386,42966,1967,20.93,0.051,,,1,3.864,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,83,27,37580,400.0,5608,43188,1970,20.97,0.047,,,1,3.862,32.31,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,70.0,83,27,37580,400.0,5463,43043,1968,20.95,0.105,,,1,3.86,36.31,20층 1879㎡(51.7×36.3m)
단일,5 미세조정,20,20,70.0,83,27,37580,400.0,5448,43028,1968,20.95,0.106,,,1,3.859,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,83,28,37580,400.0,5398,42978,1967,20.94,0.088,,,1,3.853,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,83,27,37580,400.0,5406,42986,1967,20.94,0.14,,,1,3.85,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,84,27,37580,400.0,5386,42966,1967,20.93,0.12,,,1,3.871,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,84,27,37580,400.0,5382,42962,1967,20.93,0.123,,,1,3.865,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,84,27,37580,400.0,5448,43028,1968,20.95,0.072,,,1,3.863,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,84,27,37580,400.0,5534,43114,1969,20.96,0.058,,,1,3.862,34.06,20층 1879㎡(55.2×34.1m)
단일,5 미세조정,20,20,70.0,84,27,37580,400.0,5534,43114,1969,20.96,0.061,,,1,3.862,34.06,20층 1879㎡(55.2×34.1m)
단일,5 미세조정,20,20,70.0,84,25,37580,400.0,5608,43188,1970,20.97,0.046,,,1,3.855,32.31,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,70.0,84,28,37580,400.0,5406,42986,1967,20.94,0.12,,,1,3.843,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,84,27,37580,400.0,5500,43080,1969,20.95,0.118,,,1,3.839,35.04,20층 1879㎡(53.6×35.0m)
단일,5 미세조정,20,20,70.0,84,29,37580,400.0,5427,43007,1967,20.94,0.185,,,1,3.826,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,85,25,37580,400.0,5420,43000,1967,20.94,0.062,,,1,3.876,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,85,23,37580,400.0,5534,43114,1969,20.96,0.055,,,1,3.859,34.06,20층 1879㎡(55.2×34.1m)
단일,5 미세조정,20,20,70.0,85,29,37580,400.0,5386,42966,1967,20.93,0.201,,,1,3.859,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,85,29,37580,400.0,5382,42962,1967,20.93,0.197,,,1,3.85,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,85,27,37580,400.0,5500,43080,1969,20.95,0.083,,,1,3.842,35.04,20층 1879㎡(53.6×35.0m)
단일,5 미세조정,20,20,70.0,86,27,37580,400.0,5406,42986,1967,20.94,0.052,,,1,3.876,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,86,27,37580,400.0,5420,43000,1967,20.94,0.056,,,1,3.873,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,86,25,37580,400.0,5420,43000,1967,20.94,0.081,,,1,3.87,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,86,28,37580,400.0,5534,43114,1969,20.96,0.049,,,1,3.869,34.06,20층 1879㎡(55.2×34.1m)
단일,5 미세조정,20,20,70.0,86,27,37580,400.0,5489,43069,1968,20.95,0.048,,,1,3.866,35.39,20층 1879㎡(53.1×35.4m)
단일,5 미세조정,20,20,70.0,86,27,37580,400.0,5463,43043,1968,20.95,0.048,,,1,3.865,36.31,20층 1879㎡(51.7×36.3m)
단일,5 미세조정,20,20,70.0,86,27,37580,400.0,5463,43043,1968,20.95,0.051,,,1,3.864,36.31,20층 1879㎡(51.7×36.3m)
단일,5 미세조정,20,20,70.0,86,27,37580,400.0,5463,43043,1968,20.95,0.088,,,1,3.863,36.31,20층 1879㎡(51.7×36.3m)
단일,5 미세조정,20,20,70.0,86,25,37580,400.0,5420,43000,1967,20.94,0.056,,,1,3.863,38.39,20층 1879㎡(48.9×38.4m)
