학교,교사동,파사드,층,X,Y,Z,창면방위
여의도중학교,본관(5층),본관(5층),4,194343.03,547134.39,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194343.03,547134.39,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194341.45,547136.33,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194341.45,547136.33,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194341.45,547136.33,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194341.45,547136.33,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194341.45,547136.33,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194339.87,547138.27,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194339.87,547138.27,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194339.87,547138.27,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194339.87,547138.27,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194339.87,547138.27,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194338.29,547140.21,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194338.29,547140.21,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194338.29,547140.21,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194338.29,547140.21,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194338.29,547140.21,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194336.71,547142.15,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194336.71,547142.15,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194336.71,547142.15,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194336.71,547142.15,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194336.71,547142.15,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194335.13,547144.08,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194335.13,547144.08,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194335.13,547144.08,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194335.13,547144.08,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194335.13,547144.08,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194333.55,547146.02,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194333.55,547146.02,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194333.55,547146.02,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194333.55,547146.02,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194333.55,547146.02,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194331.97,547147.96,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194331.97,547147.96,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194331.97,547147.96,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194331.97,547147.96,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194331.97,547147.96,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194330.39,547149.9,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194330.39,547149.9,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194330.39,547149.9,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194330.39,547149.9,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194330.39,547149.9,17.1,230.8
여의도중학교,본관(5층),본관(5층),2,194328.82,547151.84,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194328.82,547151.84,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194328.82,547151.84,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194328.82,547151.84,17.1,230.8
여의도중학교,본관(5층),본관(5층),2,194327.24,547153.77,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194327.24,547153.77,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194327.24,547153.77,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194327.24,547153.77,17.1,230.8
여의도중학교,본관(5층),본관(5층),2,194325.66,547155.71,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194325.66,547155.71,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194325.66,547155.71,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194325.66,547155.71,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194324.08,547157.65,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194324.08,547157.65,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194324.08,547157.65,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194324.08,547157.65,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194324.08,547157.65,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194322.5,547159.59,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194322.5,547159.59,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194322.5,547159.59,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194322.5,547159.59,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194322.5,547159.59,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194320.92,547161.52,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194320.92,547161.52,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194320.92,547161.52,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194320.92,547161.52,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194320.92,547161.52,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194319.34,547163.46,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194319.34,547163.46,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194319.34,547163.46,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194319.34,547163.46,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194319.34,547163.46,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194317.76,547165.4,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194317.76,547165.4,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194317.76,547165.4,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194317.76,547165.4,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194317.76,547165.4,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194316.18,547167.34,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194316.18,547167.34,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194316.18,547167.34,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194316.18,547167.34,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194316.18,547167.34,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194314.6,547169.28,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194314.6,547169.28,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194314.6,547169.28,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194314.6,547169.28,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194314.6,547169.28,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194313.02,547171.21,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194313.02,547171.21,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194313.02,547171.21,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194313.02,547171.21,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194313.02,547171.21,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194311.44,547173.15,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194311.44,547173.15,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194311.44,547173.15,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194311.44,547173.15,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194311.44,547173.15,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194309.86,547175.09,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194309.86,547175.09,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194309.86,547175.09,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194309.86,547175.09,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194309.86,547175.09,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194308.28,547177.03,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194308.28,547177.03,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194308.28,547177.03,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194308.28,547177.03,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194308.28,547177.03,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194306.7,547178.97,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194306.7,547178.97,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194306.7,547178.97,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194306.7,547178.97,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194306.7,547178.97,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194305.12,547180.9,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194305.12,547180.9,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194305.12,547180.9,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194305.12,547180.9,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194305.12,547180.9,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194303.54,547182.84,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194303.54,547182.84,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194303.54,547182.84,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194303.54,547182.84,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194303.54,547182.84,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194301.96,547184.78,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194301.96,547184.78,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194301.96,547184.78,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194301.96,547184.78,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194301.96,547184.78,17.1,230.8
여의도중학교,본관(5층),본관(5층),2,194300.38,547186.72,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194300.38,547186.72,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194300.38,547186.72,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194300.38,547186.72,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194298.81,547188.65,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194298.81,547188.65,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194298.81,547188.65,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194298.81,547188.65,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194298.81,547188.65,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194297.23,547190.59,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194297.23,547190.59,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194297.23,547190.59,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194297.23,547190.59,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194297.23,547190.59,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194295.65,547192.53,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194295.65,547192.53,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194295.65,547192.53,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194295.65,547192.53,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194295.65,547192.53,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194294.07,547194.47,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194294.07,547194.47,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194294.07,547194.47,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194294.07,547194.47,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194294.07,547194.47,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194292.49,547196.41,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194292.49,547196.41,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194292.49,547196.41,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194292.49,547196.41,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194292.49,547196.41,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194290.91,547198.34,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194290.91,547198.34,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194290.91,547198.34,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194290.91,547198.34,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194290.91,547198.34,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194289.33,547200.28,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194289.33,547200.28,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194289.33,547200.28,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194289.33,547200.28,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194289.33,547200.28,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194287.75,547202.22,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194287.75,547202.22,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194287.75,547202.22,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194287.75,547202.22,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194287.75,547202.22,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194286.17,547204.16,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194286.17,547204.16,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194286.17,547204.16,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194286.17,547204.16,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194286.17,547204.16,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194284.59,547206.1,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194284.59,547206.1,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194284.59,547206.1,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194284.59,547206.1,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194284.59,547206.1,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194283.01,547208.03,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194283.01,547208.03,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194283.01,547208.03,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194283.01,547208.03,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194283.01,547208.03,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194281.43,547209.97,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194281.43,547209.97,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194281.43,547209.97,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194281.43,547209.97,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194281.43,547209.97,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194279.85,547211.91,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194279.85,547211.91,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194279.85,547211.91,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194279.85,547211.91,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194279.85,547211.91,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194278.27,547213.85,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194278.27,547213.85,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194278.27,547213.85,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194278.27,547213.85,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194278.27,547213.85,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194276.69,547215.78,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194276.69,547215.78,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194276.69,547215.78,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194276.69,547215.78,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194276.69,547215.78,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194275.11,547217.72,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194275.11,547217.72,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194275.11,547217.72,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194275.11,547217.72,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194275.11,547217.72,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194273.53,547219.66,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194273.53,547219.66,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194273.53,547219.66,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194273.53,547219.66,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194273.53,547219.66,17.1,230.8
여의도중학교,본관(5층),본관(5층),2,194271.95,547221.6,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194271.95,547221.6,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194271.95,547221.6,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194271.95,547221.6,17.1,230.8
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194314.1,547110.9,2.05,264.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194314.1,547110.9,5.95,264.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194314.1,547110.9,9.55,264.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194314.1,547110.9,13.15,264.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194314.35,547108.41,2.05,264.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194314.35,547108.41,5.95,264.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194314.35,547108.41,9.55,264.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194314.35,547108.41,13.15,264.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194315.1,547105.0,2.05,246.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194315.1,547105.0,5.95,246.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194315.1,547105.0,9.55,246.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194315.1,547105.0,13.15,246.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194316.11,547102.71,2.05,246.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194316.11,547102.71,5.95,246.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194316.11,547102.71,9.55,246.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194316.11,547102.71,13.15,246.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194318.01,547100.03,2.05,217.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194318.01,547100.03,5.95,217.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194318.01,547100.03,9.55,217.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194318.01,547100.03,13.15,217.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194320.0,547098.52,2.05,217.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194320.0,547098.52,5.95,217.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194320.0,547098.52,9.55,217.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194320.0,547098.52,13.15,217.2
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194322.33,547097.23,2.05,200.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194322.33,547097.23,5.95,200.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194322.33,547097.23,9.55,200.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194322.33,547097.23,13.15,200.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194324.67,547096.35,2.05,200.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194324.67,547096.35,5.95,200.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194324.67,547096.35,9.55,200.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194324.67,547096.35,13.15,200.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194326.43,547096.05,2.05,185.7
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194326.43,547096.05,5.95,185.7
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194326.43,547096.05,9.55,185.7
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194326.43,547096.05,13.15,185.7
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194330.02,547096.24,2.05,161.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194330.02,547096.24,5.95,161.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194330.02,547096.24,9.55,161.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194330.02,547096.24,13.15,161.4
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194330.9,547092.19,2.05,268.8
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194330.9,547092.19,5.95,268.8
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194330.9,547092.19,9.55,268.8
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194330.9,547092.19,13.15,268.8
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194331.11,547089.24,2.05,262.0
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194331.11,547089.24,5.95,262.0
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194331.11,547089.24,9.55,262.0
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194331.11,547089.24,13.15,262.0
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194331.87,547085.86,2.05,249.5
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194331.87,547085.86,5.95,249.5
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194331.87,547085.86,9.55,249.5
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194331.87,547085.86,13.15,249.5
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194309.68,547063.46,2.05,230.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194309.68,547063.46,5.95,230.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),3,194309.68,547063.46,9.55,230.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),4,194309.68,547063.46,13.15,230.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),1,194311.28,547061.53,2.05,230.3
여의도중학교,체육관동(정보화센타),체육관동(정보화센타),2,194311.28,547061.53,5.95,230.3
