순위,코드,계열,형상,기준층㎡,층수,직사각형도,장단비,동서폭m,대지수용,기준A충족%,기준B충족%,현황대비%p,학교최악%p,불충족점수,불충족평균확보h,학교30-1%,학교40-1%,학교40-2%,학교40-3%
14,S069,직사각형,직사각형 4:1 / 회전 105°,683.3,55,1.0,4.0,26.2,가능,85.6,81.5,2.9,-2.8,98,1.36,81.1,85.9,84.8,100.0
15,S110,타원,타원 2.4:1 / 회전 105°,683.3,55,0.784,2.4,21.9,가능,85.6,81.5,2.9,-2.8,98,1.4,81.1,85.9,84.8,100.0
16,S111,타원,타원 2.4:1 / 회전 120°,683.3,55,0.784,2.4,28.2,가능,85.6,81.5,2.9,-2.8,98,1.37,81.1,85.9,84.8,100.0
17,S109,타원,타원 2.4:1 / 회전 90°,683.3,55,0.784,2.4,19.1,가능,85.4,81.5,2.8,-2.8,99,1.44,80.7,85.9,84.8,100.0
18,S075,팔각형,모서리컷 팔각형 c0.15 / 회전 45°,683.3,55,0.989,1.0,34.4,가능,85.3,80.7,2.6,-2.8,100,1.42,80.2,85.9,84.8,100.0
19,S076,팔각형,모서리컷 팔각형 c0.3 / 회전 0°,683.3,55,0.955,1.0,26.7,가능,85.3,81.2,2.6,-2.8,100,1.42,80.2,85.9,84.8,100.0
20,S077,팔각형,모서리컷 팔각형 c0.3 / 회전 45°,683.3,55,0.955,1.0,32.2,가능,85.3,81.0,2.6,-2.8,100,1.42,80.2,85.9,84.8,100.0
21,S003,직사각형,직사각형 1.25:1 / 회전 15°,683.3,55,1.0,1.25,34.3,가능,85.3,81.2,2.6,-2.8,100,1.41,80.2,85.9,84.8,100.0
22,S004,직사각형,직사각형 1.25:1 / 회전 30°,683.3,55,1.0,1.25,37.0,가능,85.3,81.0,2.6,-2.8,100,1.4,80.2,85.9,84.8,100.0
23,S010,직사각형,직사각형 1.25:1 / 회전 120°,683.3,55,1.0,1.25,34.9,가능,85.3,81.2,2.6,-2.8,100,1.41,80.2,85.9,84.8,100.0
24,S084,팔각형,모서리컷 팔각형 1.6:1 / 회전 90°,683.3,55,0.98,1.6,20.9,가능,85.3,81.2,2.6,-2.8,100,1.44,80.2,85.9,84.8,100.0
25,S087,팔각형,모서리컷 팔각형 1.6:1 / 회전 135°,683.3,55,0.98,1.6,34.7,가능,85.3,80.9,2.6,-2.8,100,1.4,80.2,85.9,84.8,100.0
26,S090,타원,타원 1:1 / 회전 0°,683.3,55,0.787,1.0,29.5,가능,85.3,81.2,2.6,-2.8,100,1.42,80.2,85.9,84.8,100.0
27,S095,타원,타원 1.6:1 / 회전 60°,683.3,55,0.784,1.6,27.5,가능,85.3,81.2,2.6,-2.8,100,1.44,80.2,85.9,84.8,100.0
28,S100,타원,타원 1.6:1 / 회전 135°,683.3,55,0.784,1.6,31.1,가능,85.3,81.2,2.6,-2.8,100,1.41,80.2,85.9,84.8,100.0
29,S101,타원,타원 1.6:1 / 회전 150°,683.3,55,0.784,1.6,34.4,가능,85.3,81.2,2.6,-2.8,100,1.4,80.2,85.9,84.8,100.0
30,S108,타원,타원 2.4:1 / 회전 75°,683.3,55,0.784,2.4,21.9,가능,85.3,81.2,2.6,-2.8,100,1.44,80.2,85.9,84.8,100.0
31,S139,V(<)형,'<' 벌림 140° / 회전 0°,683.3,55,0.507,3.02,21.1,가능,85.3,80.4,2.6,-2.8,100,1.43,80.2,85.9,84.8,100.0
32,S001,직사각형,직사각형 1:1 / 회전 0°,683.3,55,1.0,1.0,26.1,가능,84.7,80.1,2.1,-2.8,104,1.48,80.2,85.9,82.1,100.0
33,S074,팔각형,모서리컷 팔각형 c0.15 / 회전 0°,683.3,55,0.989,1.0,26.3,가능,84.7,80.1,2.1,-2.8,104,1.49,80.2,85.9,82.1,100.0
34,S008,직사각형,직사각형 1.25:1 / 회전 90°,683.3,55,1.0,1.25,23.4,가능,84.7,80.1,2.1,-2.8,104,1.5,80.2,85.9,82.1,100.0
35,S011,직사각형,직사각형 1.25:1 / 회전 135°,683.3,55,1.0,1.25,37.2,가능,84.7,80.0,2.1,-2.8,104,1.47,80.2,85.9,82.1,100.0
36,S002,직사각형,직사각형 1.25:1 / 회전 0°,683.3,55,1.0,1.25,29.2,가능,84.6,80.0,1.9,-2.8,105,1.49,79.7,85.9,82.1,100.0
37,S005,직사각형,직사각형 1.25:1 / 회전 45°,683.3,55,1.0,1.25,37.2,가능,84.6,79.3,1.9,-3.2,105,1.48,80.2,85.5,82.1,100.0
38,S007,직사각형,직사각형 1.25:1 / 회전 75°,683.3,55,1.0,1.25,30.1,가능,84.6,79.1,1.9,-2.8,105,1.5,79.7,85.9,82.1,100.0
39,S006,직사각형,직사각형 1.25:1 / 회전 60°,683.3,55,1.0,1.25,34.9,가능,84.4,79.0,1.8,-3.3,106,1.52,79.2,85.9,82.1,100.0
40,S015,직사각형,직사각형 1.5:1 / 회전 15°,683.3,55,1.0,1.5,36.4,가능,84.7,80.1,2.1,-2.8,104,1.47,80.2,85.9,82.1,100.0
41,S020,직사각형,직사각형 1.5:1 / 회전 90°,683.3,55,1.0,1.5,21.3,가능,84.7,80.3,2.1,-2.8,104,1.5,80.2,85.9,82.1,100.0
